臺東縣最近5年地價稅稅源統計表,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,單位：戶、公頃；新台幣千元,,,,
                 項目,總計,,,,一般用地,,,,自用住宅用地,,,,勞工宿舍用地,,,,事業直接使用土地,,,,公共設施保留地,,,,空地,,,
年度別,戶數,面積,地價,查定稅額,戶數,面積,地價,查定稅額,戶數,面積,地價,查定稅額,戶數,面積,地價,查定稅額,戶數,面積,地價,查定稅額,戶數,面積,地價,查定稅額,戶數,面積,地價,查定稅額
101年,"60,386 ","2,742.3774 ","14,358,792,790 ","183,926,091.9 ","44,528 ","2,436.3057 ","11,411,323,276 ","174,010,148.2 ","14,388 ",195.1482 ,"2,287,436,821 ","4,574,288.6 ",9 ,1.0390 ,"11,829,600 ","23,658.8 ",72 ,85.3798 ,"357,209,892 ","3,572,097.6 ","1,389 ",24.5047 ,"290,993,201 ","1,745,898.7 ",0,0,0,0
102年,"62,039 ","2,803.0059 ","15,928,124,013 ","205,532,877.6 ","45,508 ","2,505.1606 ","12,695,631,650 ","195,558,800.8 ","15,020 ",204.3808 ,"2,621,383,032 ","5,242,156.4 ",8 ,0.8686 ,"11,651,780 ","23,303.3 ",70 ,67.0617 ,"277,984,838 ","2,779,847.1 ","1,433 ",25.5342 ,"321,472,713 ","1,928,770.0 ",0,0,0,0
103年,"62,675 ","2,840.5004 ","16,050,181,454 ","209,792,932.9 ","45,563 ","2,544.6901 ","12,784,536,757 ","200,104,028.5 ","15,528 ",213.0000 ,"2,695,119,110 ","5,389,602.9 ",9 ,1.4832 ,"13,799,853 ","27,599.3 ",68 ,55.3271 ,"232,854,845 ","2,328,547.2 ","1,507 ",26.0000 ,"323,870,889 ","1,943,155.0 ",0,0,0,0
104年,"63,369 ","2,879.2325 ","16,312,762,301 ","211,097,916.1 ","45,676 ","2,555.8761 ","12,898,261,572 ","200,338,083.3 ","16,036 ",218.0321 ,"2,749,889,736 ","5,499,124.0 ",9 ,1.4950 ,"13,853,336 ","27,706.3 ",67 ,77.2722 ,"332,132,566 ","3,321,324.6 ","1,581 ",26.5571 ,"318,625,091 ","1,911,677.9 ",0,0,0,0
105年,"65,317 ","2,930.3258 ","19,092,851,860 ","247,527,559.8 ","46,729 ","2,597.7538 ","15,088,163,838 ","235,072,696.6 ","17,034 ",230.4542 ,"3,282,419,898 ","6,564,135.5 ",9 ,1.4482 ,"15,720,158 ","31,439.9 ",65 ,77.2817 ,"405,017,521 ","4,050,173.9 ","1,480 ",23.3879 ,"301,530,445 ","1,809,113.9 ",0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"資料來源：依據地價稅徵收檔資料，按稅地種類分析，減免稅地概況，稅源概況等詳細悄形分別編製。
所屬期間：每年1月1日至12月31日
註：空地係指依平均地權條例第26條第1項及土地稅法第21條規定課徵空地稅之土地
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
