性質,主管機關,辦理單位,成立日期,立案文號,負責人,連絡電話,傳真,電子郵件,地址,可服務人數,相關網站,X坐標,Y坐標,備註,最後更新時間
私立,台東縣政府,財團法人台東縣私立台東仁愛之家,19890708,府社福字第1003023352號,李壬癸,(089)227592,(089)231758,elderhome88@yahoo.com.tw,臺東縣臺東市豐年里17鄰中興路三段549號,119,http://kindhome.org.tw/right.htm,260933.11,2518937.25,,20171030
私立,台東縣政府,台東縣私立愛心老人養護中心,19990630,府社福字第92951號,伍振雄,(089)227846,(089)224452,,臺東縣臺東市新生里34鄰仁三街252號,32,,264660.74,2518553.35,,20171030
私立,台東縣政府,財團法人北部台灣基督長老教會東部中會附設台東縣私立長青老人養護中心,20010607,府社福字第0983005135號,陳明輝,(089)358406,(089)354886,long_green2006@yahoo.com.tw,臺東縣臺東市新興里9鄰鐵花路51號,70,http://www.everg.org.tw/,265627.46,2516347.08,,20171030
私立,台東縣政府,台東縣私立大愛老人養護中心,20060601,府社福字第90050850號,趙美玉,(089)346129,(089)360204,daai.family@msa.hinet.net,臺東縣臺東市豐榮里8鄰仁義北路165號,40,http://60.248.253.124/index.php,264197.36,2516613.16,,20171030
私立,台東縣政府,財團法人台東縣私立柏林老人養護中心,20050506,府社福字第0953016260號,劉松癸,(089)339985,(089)357303,Jimmy156kimo@yahoo.com.tw,臺東縣臺東市豐里里15鄰重慶路831號,162,https://www.facebook.com/%E8%B2%A1%E5%9C%98%E6%B3%95%E4%BA%BA%E5%8F%B0%E6%9D%B1%E7%B8%A3%E7%A7%81%E7%AB%8B%E6%9F%8F%E6%9E%97%E8%80%81%E4%BA%BA%E9%A4%8A%E8%AD%B7%E4%B8%AD%E5%BF%83-120498391445375/,263207.9,2513883.17,,20171030
私立,台東縣政府,臺東縣私立九如長期照顧中心,20080405,府社福字第049046號,張俊一,(089)348386,,services@loveold.com.tw,臺東縣臺東市民生里4鄰寧波街21巷35號,12,https://www.facebook.com/%E9%AB%98%E9%9B%84%E5%B8%82%E7%A7%81%E7%AB%8B%E4%B9%9D%E5%A6%82%E8%80%81%E4%BA%BA%E9%95%B7%E6%9C%9F%E7%85%A7%E9%A1%A7%E4%B8%AD%E5%BF%83-124293687741331/,265091.22,2517722.56,,20171030
私立,台東縣政府,台東縣私立豐禾老人養護中心,20090402,府社福字第910002458號,王豐彥,(089)346552,(089)348635,,臺東縣臺東市豐谷里19鄰中華路二段618巷17號,16,https://www.facebook.com/%E5%8F%B0%E6%9D%B1%E7%B8%A3%E7%A7%81%E7%AB%8B%E8%B1%90%E7%A6%BE%E8%80%81%E4%BA%BA%E9%A4%8A%E8%AD%B7%E4%B8%AD%E5%BF%83-183439088471835/,262851.91,2515967.96,,20171030
私立,台東縣政府,臺東縣私立慈心老人長期照顧中心,20100404,府社福字第0993012583號,陳佳伶,(089)342378,(089)310798,,臺東縣臺東市東海里10鄰桂林北路75號,48,https://www.facebook.com/lv342378/,264762.1,2516467.65,,20171030
私立,台東縣政府,台東縣私立仁和老人養護中心,20020101,府社福字第1020024804號,劉和蘴,(089)383477,(089)382357,,臺東縣卑南鄉利嘉村15鄰利嘉路627巷31弄16號,49,,256815.81,2519057.36,,20171030
私立,台東縣政府,財團法人台東縣天主教聖十字架慈愛修女會附設天主教私立聖十字架療養院,19900604,府社福字第130189號,高定妹,(089)811073,(089)810112,,臺東縣關山鎮中福里5鄰中正路55號,40,,266545.57,2549800.23,,20171030
私立,台東縣政府,臺東縣私立太麻里老人長期照顧中心,20110603,府社福字第0943014955號,朱自強,(089)780699分機333,(089)780561,ju561010@yahoo.com.tw,臺東縣太麻里鄉泰和村13鄰外環路220號,46,,250365.59,2500662.22,,20171030
私立,台東縣政府,臺東縣私立利嘉老人長期照顧中心,20130201,府社福字第3253號,莊林素玉,(089)385204,(089)382357,,臺東縣卑南鄉利嘉村15鄰利嘉路627巷31弄12號,48,http://www.love-taitung.com/renhe/about.html,256744.26,2518953.44,,20171030
私立,台東縣政府,衛生福利部台東醫院附設成功海景護理之家,19990422,東衛五字第88003568號,黃朱岑,(089)854748,(089)854737,,臺東縣成功鎮忠仁里7鄰中山東路32號,60,,288703.96,2555328.55,,20171204
私立,台東縣政府,衛生福利部台東醫院附設護理之家,20121228,東衛一字第7146020016號,陳玲如,(089)324112分機286,(089)349892,,臺東縣臺東市民權里五權街1號,112,,265470.84,2517386.07,,20171204
私立,台東縣政府,東基醫療財團法人附設迦南護理之家,20080912,東衛五字第7746011046號,張淑華,(089)960220分機6111,,,臺東縣臺東市新生里40鄰寧波街195號,168,,,,,20171204
