主管機關,辦理單位,成立日期,負責人,連絡電話,傳真,電子郵件,地址,相關網站,X坐標,Y坐標,備註,最後更新時間
臺東縣政府,社團法人臺東縣弱勢者關懷協會臺東市-豐里,20130719,何威震,(089)359586,,,臺東縣臺東市豐里里20鄰豐里街761號,,261846.61,2514640.16,,20171027
臺東縣政府,社團法人臺東縣弱勢者關懷協會臺東市-中華,20150611,何威震,(089)359586,,,臺東縣臺東市豐榮里33鄰漢陽北路232號,,263757.13,2516442.91,,20171027
臺東縣政府,財團法人一粒麥子社會福利慈善事業基金會臺東市-知本,20060601,呂信雄,(089)960203,,,臺東縣臺東市建農里知本路一段560號,,258643.31,2513327.7,,20171027
臺東縣政府,臺東縣東甯志工服務協會臺東市-新園,20070101,葉光弘,(089)227232,,,臺東縣臺東市新生里9鄰四維路三段72號,,264685.23,2518383.46,,20171027
臺東縣政府,臺東縣東甯志工服務協會臺東市-康樂,20070201,葉光弘,(089)227232,,,臺東縣臺東市永樂里1鄰民航路689巷71號,,262359.79,2517242,,20171027
臺東縣政府,社團法人臺東縣弱勢者關懷協會臺東市-民權,20140530,何威震,(089)359586,,,臺東縣臺東市民權里3鄰更生路50巷18號,,265502.03,2517354.67,,20171027
臺東縣政府,臺東縣臺東市新生社區發展協會臺東市-新生,20131007,陳嵩志,(089)349895,,,臺東縣臺東市新生里39鄰傳廣路344號,,264789.8,2518142.18,,20171027
臺東縣政府,財團法人一粒麥子社會福利慈善事業基金會臺東市-富岡,20050901,呂信雄,(089)960203,,,臺東縣臺東市富岡里4鄰吉林路二段699巷22號,,268948.31,2521265.61,,20171027
臺東縣政府,社團法人臺東縣失智者關懷協會臺東市-岩灣,20140818,洪庚甲,(089)380900,,,臺東縣臺東市岩灣里18鄰岩灣路50巷426號,,262813.4,2523018.79,,20171027
臺東縣政府,社團法人臺東縣失智者關懷協會臺東市-馬蘭,20110301,洪庚甲,(089)380900,,,臺東縣卑南鄉太平村1鄰民生路86巷26號,,260635.18,2520192.49,,20171027
臺東縣政府,社團法人臺東縣失智者關懷協會臺東市-南王,20110301,洪庚甲,(089)380900,,,臺東縣臺東市南王里6鄰更生北路559巷2號,,261928.61,2520452.9,,20171027
臺東縣政府,社團法人臺東縣友善關懷協會臺東市-光明,20170626,毛齊武,0932660120,,,臺東縣臺東市光明里2鄰中興路二段148號,,263304.88,2518546.24,,20171027
臺東縣政府,臺東縣東甯志工服務協會卑南鄉-利吉,20150101,葉光弘,(089)227232,,,臺東縣臺東市新生里9鄰四維路三段72號,,264685.23,2518383.46,,20171027
臺東縣政府,臺灣新興原住民文化發展協會卑南鄉-泰安,20110408,莊林素玉,(089)385469,,,臺東縣大武鄉大武村9鄰大武街48號,,240321.41,2473238.1,,20171027
臺東縣政府,社團法人臺東縣失智者關懷協會卑南鄉-美農,20110301,洪庚甲,(089)380900,,,臺東縣卑南鄉美農村22鄰班鳩109號,,259086.46,2526649.1,,20171027
