主管機關,辦理單位,成立日期,連絡電話,傳真,地址,X坐標,Y坐標,備註,最後更新時間
臺東縣政府,社團法人臺東縣弱勢者關懷協會,,(089)359586,,臺東縣大武鄉大武村大武街21巷1號,240374.79,2473186.03,,20170908
臺東縣政府,臺東縣太麻里鄉多良社區發展協會,,(089)761250,,臺東縣太麻里鄉多良村18鄰大溪250之1號,243926.67,2484819.36,,20170908
臺東縣政府,財團法人天主教會花蓮教區,,(089)852190,,臺東縣成功鎮中華路150號,289037.19,2555556.89,,20170908
臺東縣政府,社團法人臺東縣弱勢者關懷協會,,(089)359586,,臺東縣池上鄉福文村文化路22號,272131.65,2558355.54,,20170908
臺東縣政府,社團法人臺東縣弱勢者關懷協會,,(089)359586,,臺東縣卑南鄉初鹿村忠孝路165號,259494.35,2528855.14,,20170908
臺東縣政府,社團法人臺東縣弱勢者關懷協會,,(089)359586,,臺東縣延平鄉桃源村昇平路78號,258651.68,2533535.94,,20170908
臺東縣政府,臺東縣東甯志工服務協會,,(089)227232,,臺東縣臺東市四維路3段72號3樓,264685.23,2518383.46,,20170908
臺東縣政府,臺東縣鹿野鄉社區健康促進協會,,(089)580871,,臺東縣鹿野鄉光榮路236號,262746.27,2533683.96,,20170908
臺東縣政府,財團法人一粒麥子社會福利慈善事業基金會,,(089)960220,,臺東縣綠島鄉公館村柴口63號,299800.99,2508582.2,,20170908
臺東縣政府,社團法人臺東縣弱勢者關懷協會,,(089)359586,,臺東縣臺東市更生路50巷18號,265502.03,2517354.67,,20170908
臺東縣政府,財團法人一粒麥子社會福利慈善事業基金會,,(089)960203,,臺東縣臺東市知本路3段13巷40號/臺東縣臺東市建農里知本路1段560號,255716.56,2511669.74,,20170908
臺東縣政府,臺東縣東甯志工服務協會,,(089)227232,,臺東縣臺東市民航路689巷71號,262359.79,2517242,,20170908
臺東縣政府,財團法人一粒麥子社會福利慈善事業基金會,,(089)960203,,臺東縣臺東市富岡里吉林路2段699巷22號,268948.31,2521265.61,,20170908
臺東縣政府,社團法人臺東縣弱勢者關懷協會,,(089)359586,,臺東縣臺東市豐里街761號,261846.61,2514640.16,,20170908
臺東縣政府,臺東縣關山鎮中福社區發展協會,,(089)813381,,臺東縣關山鎮中福里3鄰中山路70號,266633.67,2549561.13,,20170908
