主管機關,單位名稱,成立日期,承辦人,連絡電話,傳真,電子郵件,地址,相關網站,X坐標,Y坐標,備註,最後更新時間
台東縣政府,臺東市公所,,,(08)9325301,,,臺東市博愛路365號,,265059.16,2517127.71,,20170830
台東縣政府,成功鎮公所,,,(08)9851004,,,臺東縣成功鎮中山路176,,289004.38,2555985.23,,20170830
台東縣政府,關山鎮公所,,,(08)9811179,,,臺東縣關山鎮中山路54號,,266714.86,2549546.48,,20170830
台東縣政府,池上鄉公所,,,(08)9862041,,,臺東縣池上鄉中山路101號,,272020.63,2557862.21,,20170830
台東縣政府,鹿野鄉公所,,,(08)9552136,,,臺東縣鹿野鄉鹿野村中華路二段139號,,263967.25,2534804.67,,20170830
台東縣政府,卑南鄉公所,,,(08)9381368,,,臺東縣卑南鄉太平村和平路111號,,258942.61,2520231.49,,20170830
台東縣政府,大武鄉公所,,,(08)9791340,,,臺東縣大武鄉尚武村政通三街5號,,238661.7,2471264.14,,20170830
台東縣政府,太麻里鄉公所,,,(08)9781301,,,臺東縣太麻里鄉泰和村民權路58號,,250773.13,2501714.12,,20170830
台東縣政府,海端鄉公所,,,(08)9931346,,,臺東縣海端鄉海端村4鄰山界43號,,268092.08,2555596.63,,20170830
台東縣政府,延平鄉公所,,,(08)9561285,,,臺東縣延平鄉桃源村昇平路1號,,258816.8,2533493.5,,20170830
