主管機關,據點名稱,連絡電話,傳真,服務時間,地址,相關網站,X坐標,Y坐標,備註,最後更新時間
勞動部勞動力發展署雲嘉南分署,臺東就業服務站,(089)357126,(089)357110,,臺東縣臺東市博愛路356號,,265258.24,2517422.1,,20170910
勞動部勞動力發展署雲嘉南分署,太麻里就業服務臺,(089)780520,(089)782901,,臺東縣太麻里鄉泰和村民權路58號,,250773.13,2501714.12,,20170910
勞動部勞動力發展署雲嘉南分署,成功就業服務臺,(089)853146,(089)853036,,臺東縣成功鎮中山路176號,,289004.38,2555985.23,,20170910
勞動部勞動力發展署雲嘉南分署,池上就業服務臺,(089)863457,(089)863891,,臺東縣池上鄉福原村中山路101號,,272020.63,2557862.21,,20170910
勞動部勞動力發展署雲嘉南分署,卑南就業服務臺,(089)380536,(089)381369,,臺東縣卑南鄉太平村和平路111號,,258942.61,2520231.49,,20170910
勞動部勞動力發展署雲嘉南分署,延平就業服務臺,(089)561460,(089)561460,,臺東縣延平鄉桃源村1鄰昇平路1號,,258816.8,2533493.5,,20170910
勞動部勞動力發展署雲嘉南分署,東河就業服務臺,(089)896463,(089)896378,,臺東縣東河鄉東河村11鄰南東河311號,,281040.65,2540893.05,,20170910
勞動部勞動力發展署雲嘉南分署,鹿野就業服務臺,(089)550-710,(089)552142,,臺東縣鹿野鄉中華路2段139號,,263967.25,2534804.67,,20170910
勞動部勞動力發展署雲嘉南分署,達仁就業服務臺,(089)702-840,(089)732378,,臺東縣達仁鄉安朔村9鄰復興路14號,,237951.26,2466446.49,,20170910
勞動部勞動力發展署雲嘉南分署,關山就業服務臺,(089)813-302,(089)811847,,臺東縣關山鎮中山路54號,,266714.86,2549546.48,,20170910
