主管機關,辦理單位,位址名稱,連絡電話,地址,熱區分類,無障礙設施,相關網站,X坐標,Y坐標,備註,最後更新時間
臺東縣政府,資訊室,鐵花村市集,,臺東縣台東市新生路135巷26號,臺東市區,,,265006.66,2516977.55,,20170930
臺東縣政府,資訊室,秀泰影城商場周邊1,,臺東縣台東市鐵花里5鄰新生路93號,臺東市區,,,265245.79,2516843.07,,20170930
臺東縣政府,資訊室,秀泰影城商場周邊2,,臺東縣台東市鐵花里5鄰新生路93號,臺東市區,,,265245.79,2516843.07,,20170930
臺東縣政府,資訊室,台東誠品故事館,,臺東縣台東市博愛路478號,臺東市區,,,264926.25,2517057.6,,20170930
臺東縣政府,資訊室,台東縣政府1(中山大同),,臺東縣台東市中山路276號,臺東市區,,,265435.63,2517223.41,,20170930
臺東縣政府,資訊室,台東縣政府2(官邸),,臺東縣台東市中山路276號,臺東市區,,,265435.63,2517223.41,,20170930
臺東縣政府,資訊室,台東縣政府3(生活美學館),,臺東縣台東市中山路276號,臺東市區,,,265435.63,2517223.41,,20170930
臺東縣政府,資訊室,台東縣政府4(大禮堂),,臺東縣台東市中山路276號,臺東市區,,,265435.63,2517223.41,,20170930
臺東縣政府,資訊室,台東公教會館,,臺東縣台東市南京路19號,臺東市區,,,264903.35,2517260.35,,20170930
臺東縣政府,資訊室,台東縣議會,,臺東縣台東市中興路二段727號,臺東市區,,,262325.41,2518633.42,,20170930
臺東縣政府,資訊室,原住民會館,,臺東縣台東市中山路10號,臺東市區,,,266134.91,2517985.97,,20170930
臺東縣政府,資訊室,台東醫院,,臺東縣台東市五權街1號,臺東市區,,,265470.84,2517386.07,,20170930
臺東縣政府,資訊室,台東基督教醫院,,臺東縣台東市開封街350號,臺東市區,,,264994.33,2518138.09,,20170930
臺東縣政府,資訊室,台東縣衛生局,,臺東縣台東市博愛路336號,臺東市區,,,265268.05,2517449.88,,20170930
臺東縣政府,資訊室,台東縣民服務中心,,臺東縣台東市博愛路275 號,臺東市區,,,265299.8,2517413.44,,20170930
臺東縣政府,資訊室,台東縣政府警察局,,臺東縣台東市中山路268號,臺東市區,,,265479.36,2517272.05,,20170930
臺東縣政府,資訊室,台東美術館1,,臺東縣台東市浙江路350號,臺東市區,,,265432.83,2518169.78,,20170930
臺東縣政府,資訊室,台東市公所,,臺東縣台東市博愛路365號,臺東市區,,,265059.16,2517127.71,,20170930
臺東縣政府,資訊室,市民廣場1,,臺東縣台東市南京路37號,臺東市區,,,264935.86,2517291.66,,20170930
臺東縣政府,資訊室,市民廣場2,,臺東縣台東市南京路37號,臺東市區,,,264935.86,2517291.66,,20170930
臺東縣政府,資訊室,天后宮,,臺東縣台東市中華路一段222號,臺東市區,,,265916.28,2517409.97,,20170930
臺東縣政府,資訊室,台東女中校門口,,臺東縣台東市四維路一段690號,臺東市區,,,265768.54,2517815.51,,20170930
臺東縣政府,資訊室,台東高中校門口,,臺東縣台東市中華路一段721號,臺東市區,,,265067,2516360.23,,20170930
臺東縣政府,資訊室,台東高商校門口,,臺東縣台東市正氣路440號,臺東市區,,,264872.23,2517451.57,,20170930
臺東縣政府,資訊室,國立臺東專科學校校門口,,臺東縣台東市正氣北路889號,臺東市區,,,262700.9,2517331.41,,20170930
臺東縣政府,資訊室,國立台東大學1校門口,,臺東縣台東市中華路一段684號,臺東市區,,,265090.75,2516511.47,,20170930
臺東縣政府,資訊室,國立台東大學2周圍熱鬧,,臺東縣台東市中華路一段684號,臺東市區,,,265090.75,2516511.47,,20170930
臺東縣政府,資訊室,豐源國小校門口,,臺東縣台東市中華路四段392號,臺東市區,,,261126.56,2514404.21,,20170930
臺東縣政府,資訊室,文創東堂191(台東糖廠)-1,,臺東縣台東市中興路二段191號,臺東市區,,,263241.66,2518485.46,,20170930
臺東縣政府,資訊室,文創東堂191(台東糖廠)-2,,臺東縣台東市中興路二段191號,臺東市區,,,263241.66,2518485.46,,20170930
臺東縣政府,資訊室,文創東堂191(台東糖廠)-3,,臺東縣台東市中興路二段191號,臺東市區,,,263241.66,2518485.46,,20170930
臺東縣政府,資訊室,文創東堂191(台東糖廠)-4,,臺東縣台東市中興路二段191號,臺東市區,,,263241.66,2518485.46,,20170930
臺東縣政府,資訊室,麥當勞台東中華,,臺東縣台東市中華路二段201號,臺東市區,,,264193.06,2515965.86,,20170930
臺東縣政府,資訊室,肯德基台東新生,,臺東縣台東市新生路158號,臺東市區,,,265178.08,2516950.57,,20170930
臺東縣政府,資訊室,公路總局-台東監理站,,臺東縣台東市正氣北路441號,臺東市區,,,263638.3,2516986.37,,20170930
臺東縣政府,資訊室,統一超商-東定門市,,臺東縣台東市中興路四段406號,臺東市區,,,259723.51,2519324.07,,20170930
臺東縣政府,資訊室,統一超商-東京門市,,臺東縣台東市更生北路198號,臺東市區,,,262649.29,2519972.19,,20170930
臺東縣政府,資訊室,統一超商-東樂門市,,臺東縣台東市山西路一段330號,臺東市區,,,262084.28,2517011.78,,20170930
臺東縣政府,資訊室,統一超商-新南王門市,,臺東縣台東市更生北路677號,臺東市區,,,261703.49,2520644.33,,20170930
臺東縣政府,資訊室,統一超商-成貞門市,,臺東縣台東市中興路三段399號1樓,臺東市區,,,261275.99,2518946.99,,20170930
臺東縣政府,資訊室,統一超商-富岡門市,,臺東縣台東市吉林路二段668號1樓,臺東市區,,,269018.56,2521203.6,,20170930
臺東縣政府,資訊室,全家便利商店-台東知本店,,臺東縣台東市青海路四段472號1樓,臺東市區,,,254118.21,2511732.07,,20170930
臺東縣政府,資訊室,全家便利商店-台東四維店,,臺東縣台東市傳廣路399號1樓,臺東市區,,,264760.14,2518309.29,,20170930
臺東縣政府,資訊室,全家便利商店-台東寶桑店,,臺東縣台東市中興路一段211號,臺東市區,,,264582.67,2518585.18,,20170930
臺東縣政府,資訊室,全家便利商店-台東新城店,,臺東縣台東市中興路二段424號,臺東市區,,,262786.85,2518704.5,,20170930
臺東縣政府,資訊室,全家便利商店-台東南王店-1,,臺東縣台東市更生北路603號,臺東市區,,,261860.56,2520531.71,,20170930
臺東縣政府,資訊室,全家便利商店-台東南王店-2,,臺東縣台東市更生北路603號,臺東市區,,,261860.56,2520531.71,,20170930
臺東縣政府,資訊室,台東市衛生所,,臺東縣台東市大同路51號,臺東市區,,,266045.62,2516651.24,,20170930
臺東縣政府,資訊室,統一超商-利嘉,,臺東縣台東市中興路六段667號1樓,臺東市區,,,255651.28,2518186.92,,20170930
臺東縣政府,資訊室,老東台米苔目,,臺東縣台東市正氣路134號,臺東市區,,,265643.82,2516839.05,,20170930
臺東縣政府,資訊室,卑南豬血湯,,臺東縣台東市更生北路76號,臺東市區,,,262912.41,2519728.06,,20170930
臺東縣政府,資訊室,台糖休息站(台東特產展售店),,臺東縣台東市豐里里十七鄰臨海路三段431號,臺東市區,,,262240.71,2514119.71,,20170930
臺東縣政府,資訊室,娜路彎大酒店,,臺東縣台東市連航路66號,臺東市區,,,262528.56,2518829.2,,20170930
臺東縣政府,資訊室,台糖蜜鄰便利超商,,臺東縣台東市中興路二段202號,臺東市區,,,263144.05,2518626.15,,20170930
臺東縣政府,資訊室,台東博愛浸信會,,臺東縣台東市博愛路11號,臺東市區,,,265943.71,2518141.09,,20170930
臺東縣政府,資訊室,東海公園1,,臺東縣台東市中華路二段17號,臺東市區,,,264566.06,2516024.73,,20170930
臺東縣政府,資訊室,東海公園2,,臺東縣台東市中華路二段17號,臺東市區,,,264566.06,2516024.73,,20170930
臺東縣政府,資訊室,台東森林公園活水湖2,,臺東縣台東市桂林北路201號,臺東市區,,,264807.7,2516863.19,,20170930
臺東縣政府,資訊室,鼎東客運山線總站,,臺東縣台東市復興路184號,臺東市區,,,265439.43,2516892.36,,20170930
臺東縣政府,資訊室,鼎東客運海線總站,,臺東縣台東市 中山路404號,臺東市區,,,265135.5,2516919.76,,20170930
臺東縣政府,資訊室,榮民醫院,,臺東縣台東市更生路1000號,臺東市區,,,263598.45,2519080.81,,20170930
臺東縣政府,資訊室,台東火車站-1(大廳),,臺東縣台東市岩灣路101巷598號,交通節點,,,262645.72,2521450.2,,20170930
臺東縣政府,資訊室,台東火車站-2(月台),,臺東縣台東市岩灣路101巷598號,交通節點,,,262645.72,2521450.2,,20170930
臺東縣政府,資訊室,台東火車站-3(前廣場),,臺東縣台東市岩灣路101巷598號,交通節點,,,262645.72,2521450.2,,20170930
臺東縣政府,資訊室,知本火車站,,臺東縣台東市知本路二段900巷85號,交通節點,,,256235.25,2512195.4,,20170930
臺東縣政府,資訊室,台東豐年機場-1,,臺東縣台東市民航路1100號,交通節點,,,260978.15,2517230.61,,20170930
臺東縣政府,資訊室,台東豐年機場-2,,臺東縣台東市民航路1100號,交通節點,,,260978.15,2517230.61,,20170930
臺東縣政府,資訊室,鹿野火車站,,臺東縣鹿野鄉中正路1號,交通節點,,,263958.02,2534599.8,,20170930
臺東縣政府,資訊室,關山火車站,,臺東縣關山鎮博愛路2號,交通節點,,,266844.62,2549353.48,,20170930
臺東縣政府,資訊室,池上火車站,,臺東縣池上鄉鐵花路30號,交通節點,,,272473.21,2558261.16,,20170930
臺東縣政府,資訊室,三仙台風景區,,臺東縣成功鎮基翬路74號,觀光景點,,,291645.17,2557978.72,,20170930
臺東縣政府,資訊室,小野柳遊客中心,,臺東縣台東市松江路一段500號 ,觀光景點,,,270159.7,2521665.81,,20170930
臺東縣政府,資訊室,八仙洞,,臺東縣長濱鄉水母丁1號之4,觀光景點,,,298708.23,2588213.89,,20170930
臺東縣政府,資訊室,八仙洞旁販售區廣場,,臺東縣長濱鄉水母丁1號之4,觀光景點,,,298708.23,2588213.89,,20170930
臺東縣政府,資訊室,東管處都歷本部,,臺東縣成功鎮信義里新村路25號,觀光景點,,,283309.35,2546580.45,,20170930
臺東縣政府,資訊室,比西里岸,,臺東縣成功鎮白蓮路260號,觀光景點,,,291028.35,2558712.57,,20170930
臺東縣政府,資訊室,金樽漁港,,臺東縣東河鄉東河村金樽89號,觀光景點,,,280182.89,2539463.22,,20170930
臺東縣政府,資訊室,金樽漁港,,臺東縣東河鄉東河村金樽89號,觀光景點,,,280182.89,2539463.22,,20170930
臺東縣政府,資訊室,兒童故事館,,臺東縣台東市大同路103號 ,觀光景點,,,265866.57,2516820,,20170930
