主管機關,辦理單位,連絡電話,地址,相關網站,X坐標,Y坐標,備註,最後更新時間
臺東縣政府,臺東縣文化處-藝文中心,(089))320378,臺東縣臺東市南京路25號,,265002.99,2517335.96,,20170911
臺東縣政府,臺東市圖書館,(089)320378,臺東縣臺東市南京路25號,,265002.99,2517335.96,,20170911
臺東縣政府,臺東縣民服務中心,(089)347550,臺東縣臺東市博愛路275號,,265299.8,2517413.44,,20170911
臺東縣政府,迦南銀髮福祉中心,(089)960220,臺東縣臺東市寧波街195號,,265139.17,2518267.15,,20170911
臺東縣政府,卑南鄉公所,(089)381368,臺東縣卑南鄉和平路111號,,258942.61,2520231.49,,20170911
臺東縣政府,臺東縣稅務局,(089)231600,臺東市中興路2段729號,,262217.5,2518701.55,,20170911
臺東縣政府,臺東戶政事務所-卑南辦事處,(089)382040,臺東縣卑南鄉太平村和平路136號,,259049.47,2520189.58,,20170911
臺東縣政府,臺東基督教醫院-1樓大廳,(089)960888,臺東縣臺東市開封街350號1樓,,264994.33,2518138.09,,20170911
臺東縣政府,臺東基督教醫院-2樓候診區,(089)960888,臺東縣臺東市開封街350號2樓,,264994.33,2518138.09,,20170911
臺東縣政府,國立台灣史前博物館,(089)381166,臺東縣臺東市博物館路1號,,259382.06,2517718.7,,20170911
臺東縣政府,臺東社會處,(089)340720,臺東縣臺東市桂林北路201號,,264807.7,2516863.19,,20170911
臺東縣政府,社會處勞工育樂中心,(089)340720,臺東縣臺東市桂林北路201號,,264807.7,2516863.19,,20170911
臺東縣政府,臺東縣臺東戶政事務所,(089)323490,臺東縣臺東市信義路291號,,265115.05,2517089.95,,20170911
臺東縣政府,成功家福中心,(089)854915,臺東縣成功鎮新生路93號,,288915.01,2555827.19,,20170911
臺東縣政府,東管處-都歷遊客中心,(089)841520,臺東縣成功鎮新村路25號,,283309.35,2546580.45,,20170911
臺東縣政府,大武鄉公所,(089)791340,臺東縣大武鄉政通三街5號,,238661.7,2471264.14,,20170911
