主管機關,辦理單位,成立日期,立案文號,里事長,總幹事,協會名稱,服務項目,聯絡電話,傳真,協會地址,X坐標,Y坐標,備註,最後更新時間
臺東縣政府,大武社區發展協會,19930307,,蘇清連,,大武社區發展協會,,,,臺東縣大武鄉大武村大武街45號,240238.19,2473124.75,,20170910
臺東縣政府,尚武社區發展協會,19930303,,吳舜安,,尚武社區發展協會,,,,臺東縣大武鄉尚武村政通路32號,238858,2471257.74,,20170910
臺東縣政府,大王社區發展協會,20070107,,林秀芳,,大王社區發展協會,,,,臺東縣太麻里鄉泰和村4鄰太麻里街138號,250748.21,2501564.39,,20170910
臺東縣政府,三和社區發展協會,19950804,,李忠川,,三和社區發展協會,,,,臺東縣太麻里鄉三和村5鄰漁場224號,253581.89,2507699.05,,20170910
臺東縣政府,三仙社區發展協會,19981207,,陳南蓀,,三仙社區發展協會,,,,臺東縣成功鎮三仙里白蓮路141號,291002.32,2558630.19,,20170910
臺東縣政府,三民社區發展協會,19960806,,蔡新輝,,三民社區發展協會,,,,臺東縣成功鎮三民里長春街46號,288495.74,2555847.68,,20170910
臺東縣政府,小馬社區發展協會,20130620,,高建章,,小馬社區發展協會,,,,臺東縣成功鎮信義里小馬路103之1號,282416.91,2544163.14,,20170910
臺東縣政府,旮祭來社區發展協會,20070508,,蔡勇穩,,旮祭來社區發展協會,,,,臺東縣成功鎮和平里和平路17號,284698.82,2550869.1,,20170910
臺東縣政府,忠孝社區發展協會,19950909,,陳萬貴,,忠孝社區發展協會,,,,臺東縣成功鎮忠孝里美山路133號,290850.28,2561363.32,,20170910
臺東縣政府,信義社區發展協會,19960908,,洪進榮,,信義社區發展協會,,,,臺東縣成功鎮信義里都歷路113號,283946.5,2547518.7,,20170910
臺東縣政府,博愛社區發展協會,19930204,,楊世光,,博愛社區發展協會,,,,臺東縣成功鎮博愛里重安路41號,290532.79,2565623.48,,20170910
臺東縣政府,福原社區發展協會,19930705,,林建宏,,福原社區發展協會,,,,臺東縣池上鄉福原村新生路69號,272239.66,2557841.79,,20170910
臺東縣政府,十股社區發展協會,19960407,,謝雲中,,十股社區發展協會,,,,臺東縣卑南鄉賓朗村8鄰十股5號,260905.2,2521741.31,,20170910
臺東縣政府,太平社區發展協會,19960901,,楊才松,,太平社區發展協會,,,,臺東縣卑南鄉太平村和平路128巷8號,259074,2520143.64,,20170910
臺東縣政府,利吉社區發展協會,19930430,,楊炎湫,,利吉社區發展協會,,,,臺東縣卑南鄉利吉村3鄰利吉路52號,263765.8,2524809.7,,20170910
臺東縣政府,利嘉社區發展協會,19930703,,吳賢一,,利嘉社區發展協會,,,,臺東縣卑南鄉利嘉村利嘉路611,256739.17,2519336.99,,20170910
臺東縣政府,初鹿社區發展協會,19930106,,簡詩福,,初鹿社區發展協會,,,,臺東縣卑南鄉初鹿村初鹿二街111號,259054.56,2528758.98,,20170910
臺東縣政府,東興社區發展協會,19920104,,胡進德,,東興社區發展協會,,,,臺東縣卑南鄉東興村東園一街120號,254218.55,2518249.59,,20170910
臺東縣政府,美農社區發展協會,19930203,,陳民富,,美農社區發展協會,,,,臺東縣卑南鄉美農村15鄰煙草間34之1號,259629.11,2527227.09,,20170910
臺東縣政府,嘉豐社區發展協會,19960605,,陳清水,,嘉豐社區發展協會,,,,臺東縣卑南鄉嘉豐村5鄰和平路110號,264747.4,2531326.5,,20170910
臺東縣政府,龍過脈社區發展協會,19960430,,鄭健聰,,龍過脈社區發展協會,,,,臺東縣卑南鄉明峰村11鄰龍過脈181號,259496.51,2530519.94,,20170910
臺東縣政府,永康社區發展協會,19930502,,余康生,,永康社區發展協會,,,,臺東縣延平鄉永康村5鄰泰平路74之2號,261595.36,2536914.91,,20170910
臺東縣政府,尚德社區發展協會,20120726,,陳人鼎,,尚德社區發展協會,,,,臺東縣東河鄉尚德村4鄰前寮71號,274331.9,2539992.72,,20170910
臺東縣政府,都蘭社區發展協會,19930531,,高智略,,都蘭社區發展協會,,,,臺東縣東河鄉都蘭村39鄰都蘭372號,273298.26,2530621.92,,20170910
臺東縣政府,興昌社區發展協會,19930404,,吳煥松,,興昌社區發展協會,,,,臺東縣東河鄉興昌村7鄰興昌40號,275308.63,2532472.33,,20170910
臺東縣政府,八桑安社區發展協會,19951208,,李俊雄,,八桑安社區發展協會,,,,臺東縣長濱鄉寧埔村5鄰八桑安47之5號,292716.17,2572468.52,,20170910
臺東縣政府,永福社區發展協會,19930301,,邱金枝,,永福社區發展協會,,,,臺東縣長濱鄉竹湖村4鄰永福23號,294313.02,2577137.53,,20170910
臺東縣政府,烏石鼻社區發展協會,20000207,,連聰忠,,烏石鼻社區發展協會,,,,臺東縣長濱鄉寧埔村13鄰烏石鼻9號,292327.73,2570377.1,,20170910
臺東縣政府,樟原社區發展協會,19930402,,葉進來,,樟原社區發展協會,,,,臺東縣長濱鄉樟原村7鄰樟原63號,299409.72,2590448.28,,20170910
