100年 臺東縣統計區死亡人口年齡與原住民別統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=E5AA72D4F35F91D0&n=4A2DB40EB35F337E, 100年 臺東縣統計區死亡人口年齡與原住民別統計_二級發布區.csv
100年12月全國工商平均每家服務人數_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=9D68712E98190CC7&n=4A2DB40EB35F337E, 100年12月全國工商平均每家服務人數_鄉鎮市區_臺東縣.csv
100年12月全國身心障礙者統計指標_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=03FD985E8614200A&n=4A2DB40EB35F337E, 100年12月全國身心障礙者統計指標_鄉鎮市區_臺東縣.csv
100年12月行政區15歲以上人口十歲年齡組與性別與教育程度與婚姻狀況統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=A0A73CF7630B1B26&n=4A2DB40EB35F337E, 100年12月行政區15歲以上人口十歲年齡組與性別與教育程度與婚姻狀況統計_村里_臺東縣.csv
100年12月行政區15歲以上人口十歲年齡組與性別與教育程度與婚姻狀況統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=A2DE80B6AA89AD76&n=4A2DB40EB35F337E, 100年12月行政區15歲以上人口十歲年齡組與性別與教育程度與婚姻狀況統計_鄉鎮市區_臺東縣.csv
100年12月行政區15歲以上人口五歲年齡組統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=FDC3BA2C714CD75F&n=4A2DB40EB35F337E, 100年12月行政區15歲以上人口五歲年齡組統計_村里_臺東縣.csv
100年12月行政區15歲以上人口五歲年齡組統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=B383123AEADAEE52&n=4A2DB40EB35F337E, 100年12月行政區15歲以上人口五歲年齡組統計_鄉鎮市區_臺東縣.csv
100年12月行政區人口指標_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=76E514D1CA642D79&n=4A2DB40EB35F337E, 100年12月行政區人口指標_村里_臺東縣.csv
100年12月行政區人口指標_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=4061A3F0B105B5AE&n=4A2DB40EB35F337E, 100年12月行政區人口指標_鄉鎮市區_臺東縣.csv
100年12月行政區人口統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=AF04D533FC93AA8D&n=4A2DB40EB35F337E, 100年12月行政區人口統計_村里_臺東縣.csv
100年12月行政區人口統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=20E7E5EED4327F75&n=4A2DB40EB35F337E, 100年12月行政區人口統計_鄉鎮市區_臺東縣.csv
100年12月行政區十歲年齡組人口統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=AC1FC98C56BFAE2D&n=4A2DB40EB35F337E, 100年12月行政區十歲年齡組人口統計_村里_臺東縣.csv
100年12月行政區十歲年齡組人口統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=2E5DCB04C64512CC&n=4A2DB40EB35F337E, 100年12月行政區十歲年齡組人口統計_鄉鎮市區_臺東縣.csv
100年12月行政區十歲年齡組性別人口統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=72B3DD8075727A37&n=4A2DB40EB35F337E, 100年12月行政區十歲年齡組性別人口統計_村里_臺東縣.csv
100年12月行政區十歲年齡組性別人口統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=1548B29AE7A54B88&n=4A2DB40EB35F337E, 100年12月行政區十歲年齡組性別人口統計_鄉鎮市區_臺東縣.csv
100年12月行政區三段年齡組性別人口統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=4C4A2FCA6454B41E&n=4A2DB40EB35F337E, 100年12月行政區三段年齡組性別人口統計_村里_臺東縣.csv
